date,user_name,review,star
a year ago,Roxana Botezatu,,4
a year ago,Janvi Vadher,,4
a year ago,Akram Hussain,,5
a year ago,sarah jane laming,,2
a year ago,Melvin Antonio Rodriguez Alvarado,(Translated by Google) Very good customer service a lot of clothes for the whole family I love it 💖 …,5
a year ago,Vamsi OSS,It always goes good with shopping at this place. The staff were also good and polite.,5
a year ago,Johnson Wilson,Fab sectioning,4
a year ago,Adesoga Abudu,,3
a year ago,Shafiqul Islam,Love it,5
a year ago,Principe Nachito,,5
a year ago,Maciej Kurkowski,,5
a year ago,Juan Granados Toro,,5
a year ago,Roberta Esteves,,5
a year ago,Sahid S P,,5
a year ago,janet chambers,,4
a year ago,Giorgio conte,,3
a year ago,Nithya vijayan,,5
a year ago,Clara Barthe,,5
a year ago,Jithendra Karthik,,4
a year ago,Shiv Raj,Big store,5
a year ago,SIAKAMS,Normal,3
a year ago,Sukanta Sutradhar,,4
a year ago,Sharon Jolliffe,,3
a year ago,Sabrina “ConsciousEye&I” Burrell,Nice store not as big as expected but good,4
a year ago,yazad ghamat,,5
a year ago,Abdul Haq,,4
a year ago,Cee Mu,Good stuff here some good prices  too.,5
a year ago,Роман Гуйванюк,,5
a year ago,J P,,4
a year ago,Gregor Watt,,5
a year ago,Rabia Sultana,,5
a year ago,Anselm Lee,,4
a year ago,parvez biswas,,1
a year ago,Sukumar K,,5
a year ago,Ivo dimov,,1
a year ago,Akbar Sayed,"Excellent design especially for young age and kids , layout is done correctly",5
a year ago,Urmi Patel,,5
a year ago,Donn Williams,,4
a year ago,MAJID HUSSAIN,,5
a year ago,Syed Noor ahmed,,4
a year ago,Arif,,5
a year ago,Lisa Halfacre,Nice store,5
a year ago,Binyamin Zainal,,4
a year ago,Captain Hamada,,3
a year ago,First Last,,4
a year ago,PRITHISH SEN,,4
a year ago,vamsi krishna,,3
a year ago,Dáda Nikyta,,4
a year ago,Shakir Khan,,5
a year ago,Rajneesh Toolsie,Good prices. Wide variety.,5
a year ago,PH PH,,5
a year ago,Trace Mintah,,3
a year ago,Julie Moos,,4
a year ago,Farhan Aventador,,5
a year ago,Barry Southgate,,5
a year ago,Alexandru Angheluta,,5
a year ago,Maryam Boyi,,5
a year ago,Impac,Place to shop,5
a year ago,Iosif Danca,,5
a year ago,Tracy Grange,,5
a year ago,K Kudunov,,1
a year ago,Marco Iacoangeli,,5
a year ago,AkbarAli Dero,,4
a year ago,Rosita Connolly,"Clean not too crowded, friendly staff",4
a year ago,RICHARD Farquharson,,4
a year ago,Prithish sen,,3
a year ago,Buledy Sangwa,,4
a year ago,giridhar B,,5
a year ago,Shuaib Ahmed,,3
a year ago,Niranjan Bagoan,,4
a year ago,Gulam Ahmed,,4
a year ago,Neil Murphy,,5
a year ago,courtney dolan,,5
a year ago,Zahraa Azim,,4
a year ago,Richard F,,3
a year ago,Jasmina Chavez,,4
a year ago,Victor Șarov,,5
a year ago,Eftal,Why are the mens section in the places always so small,4
a year ago,R Saira,,1
a year ago,Vara Prasad Nik,,5
a year ago,Marekris Racoma,,5
a year ago,Mouad Chagk Mochament,,5
a year ago,krishnamoorthy balakrishnan,,4
a year ago,Nilesh Joshi,Great shopping experience,4
a year ago,Francis Amankwah Adusei,Stuff,5
a year ago,sudhakar sharma,Very big store from H&M,5
a year ago,Christine Glover,Lots of choice not too busy,4
a year ago,Wanga Omartin,,5
a year ago,Lynda Poysden,"Did a lot of walking around trying to find things, didn't  appear  to have specific areas , to me it was a muddle.",3
a year ago,Budget Reviews,Very easy to navigate through store. Security very helpful at the door. The parcel pickup is on the first floor ladies section. You need to enter the pickup code that gets sent to your email and your parcel is received through a self-service machine. Staff are always helpful who can help you if you need it.,5
a year ago,Nelu Corabieru,,5
a year ago,Kingsley Binauli,"Westfield H&M is such an outstanding store packed with almost everything you needed,… Yes!, I means bang on street wear to everything your Home needs… …",5
a year ago,tashino tuki,Good  sale item and the prices are great,5
a year ago,Rodion Gamzanov,,5
a year ago,Mason Maz,,4
a year ago,Silverio Azevedo,,5
a year ago,Sheikh Russel,,4
a year ago,Kemi Adekunbi,,5
a year ago,Sarah Conway,,4
a year ago,Freak banging,,5
a year ago,Emanuele La Spada,,5
a year ago,Ketvi Pandya,,5
a year ago,Eugeni Nikolov,,5
a year ago,Petro Press,,5
a year ago,Runa Bakar,,5
a year ago,Artic Jay (Jane Clark),,4
a year ago,Ruth Watson,,5
a year ago,Prayagi Patel,,5
a year ago,Vasile GHEORGHE,,5
a year ago,Anderson F Santos,,5
a year ago,Valerie Bungener Relmy,"The store was immaculate when I visited. I went straight the the HOME section, Great service, team was really helpful and available.",5
a year ago,Ann Tayler,Not much for older ladies,3
a year ago,MD R.I. CHOWDHURY,Quality clothes,4
a year ago,Pawel Tomaszewski,,4
a year ago,Andreja Ćaćić,Always the right place to buy the basics.,5
a year ago,Maxine Jones,One of my favorite place to go. Love it there,5
a year ago,Mohammed Rahman,,4
a year ago,Rezaul Rakib,,5
a year ago,vasile razvan holban,,5
a year ago,geekishor,Great,5
a year ago,KriSZ,,4
a year ago,adella206,,5
a year ago,Davide Cimmino,(Translated by Google) Perfect  (Original) Perfetto,5
a year ago,Izuchukwu Uchegbu,,5
a year ago,J T,,2
a year ago,Allana Dillon,,3
a year ago,Alina Ramona,,5
a year ago,Sumbel Irfan,Best quality products 👍💕 …,5
a year ago,benny deada,,5
a year ago,Deepak Gaonkar,,5
a year ago,Michał Hyla,,3
a year ago,Mustafa Aykut. erdogdu Yilmaz,,5
a year ago,Александр Гаврилов,,5
a year ago,MC KRIZOUA,(Translated by Google) Good 👍  (Original) Bien 👍 …,4
a year ago,sai krishna m,,5
a year ago,Luqman Naukhez,Big store with variety and home department,5
a year ago,Mak K (Angels mom),"Great for kids shopping,  i always find good stuff for my toddlers. Not much stuff for newborns though.",4
a year ago,Софія Лодба,,5
a year ago,Christine Gorst,,3
a year ago,Chanelle Wamba,"Love shopping here, clothes always tidy, staff always ready to help",5
a year ago,Rujina Ahmed,,4
a year ago,Nadejda Cebotari,,5
a year ago,Taz Islam,,5
a year ago,Angad Kumar Shukla,Cheap and best,4
a year ago,nicolas nimubona,,5
a year ago,Yasmin Khan,Always love shopping here. Has the best selection and range of products. Staff are fast and efficient.,5
a year ago,Saif Shaikh,,3
a year ago,GIGEL CAPRITA,,5
a year ago,marius cires,,5
a year ago,S P,"It's ok , could do with a bit more variety as the stock  looks the same every time you visit 😂 …",3
a year ago,Farhad Mohammad,,4
a year ago,Nou I,"Very clean, good price and branded and stylish clothes.",5
a year ago,fyjl hq,Nice,5
a year ago,Ankur Mittal,Shopping on a budget. Look no further.,5
a year ago,Tony O'Kane,OK,4
a year ago,Rupert Dannreuther,Terrible customer service today. Staff leaving till seven when massive queue. Rude staff at till whispering behind customer back. Ignored by staff member who was in front of me in downstairs till. 13:33 store GB0911 sa 132231 no 9259,1
a year ago,Yashwanth Y,,4
a year ago,Little B,Found everything my teenage son needed,5
a year ago,Syed basheer Ahmed,,5
a year ago,vittal roy,Best clothing network in london,4
a year ago,Ольга Иван,,5
a year ago,Jessica Eyre,,4
a year ago,London's street food,Wasn't really too happy they didn't have many men's where's especially when it comes to the jeans,3
a year ago,F. Baltazar Oliva C. (Balth),,4
a year ago,Jésus Christ Le Roi du Kongo RDC,Great 👍 …,5
a year ago,Pam Johnson,,4
a year ago,Krystyna Regula,,5
a year ago,Amber Kanu,,4
a year ago,Ronny Moses,,5
a year ago,Sumi,I visited to see the items which I saw online but had a hard time locating. I will most likely continue shopping online instead. There was a different layout but I haven't been to this branch in months.,3
a year ago,Angela Florea,,5
a year ago,Gloria tangsi,,5
a year ago,Goher Jamal,Lovely outfits,5
a year ago,Narmeen Sheikh,,4
a year ago,Lisa M,"A good store, clean and well stocked. Friendly staff too.",5
a year ago,Trix Rapide,👍 …,5
a year ago,Yusouf Khan,Poor shopping experience as the staff were non existent and disengaged.,1
a year ago,Sujir Pavithra Nayak,Love the clothes but mostly love thr home store!!! I wish they had a larger selection for the home stuff.,5
a year ago,valentina vargas,,4
a year ago,juliet nakato,,4
a year ago,Oksana Kotliarova,,4
a year ago,Mihaela Palici,,4
a year ago,hishinik Valera,,5
a year ago,panagiotis eskioglou,,5
a year ago,Valentin Petre,,5
a year ago,Bné Cs,,4
a year ago,Guillermo Reyes,you can find all you need.,5
a year ago,Kopil Kaiser,"I have always enjoyed shopping with H&M. The fittings of the clothing are to perfection, quality is outstanding comparing to the price. I always visit them on my regular shopping needs. I would surely advise to visit them and give it a try if you are looking to shop for everyday clothing",5
a year ago,Matthew Telles,,5
a year ago,Akshay Thakur,,4
a year ago,momtaz islam,,5
a year ago,tee ade,,4
a year ago,Sahar Hussein,,5
a year ago,Giovanni Credendino,Nice place. Even the staff is very friendly!,5
a year ago,Bryan Uk,Very rude staff! I had a very bad experience in this shop. I love H&M and I am a loyal customer but when the people who work treat you disrespectfully you are very sad after! I have never seen a shop with more ugly staff than this!,1
a year ago,Janet Salter,,4
a year ago,Kino J,The ladies department had a wonderful assistant called Mariantonia. She was polite and patient. Really sweet personality. I was completely unaware of any member offers but she took the time to ask and waited patiently for me to log in to my …,5
a year ago,Kevin Manuel,,5
a year ago,B d,,5
a year ago,Noor Ahmed,Good customer service,5
a year ago,John Bourne,Lovely range of menswear on the cheaper side than some other stores nearby.,4
a year ago,Ion Mantea,,5
a year ago,kris Racoma,Always my favourite clothing brand,5
a year ago,Anita Vásárhelyi,,4
a year ago,Bianca Gabriela,,5
a year ago,Nida Nas,My favourite store and is a big branch and I love the variety but once more I'll say the same thing the there's not enough staff on the shop floor to help customers.,4
a year ago,Peter Cornish,Nice shop. No much queuing,5
a year ago,Aysha Sidat,Just a quick pop in and out. Not to crowded and didn't find what I was looking for.  Overall it was fine.,4
a year ago,Stephen “Kirky” Kirk,,3
a year ago,Villi Zhivkova,,5
a year ago,Jignesh Panchal,,2
a year ago,Sid Daby,,5
a year ago,Customer Care Phoenixbcs-group,Good shop,5
a year ago,Lee D,Good staff not my sort of clothes.,3
a year ago,Лю Лу,,5
a year ago,Amrit,,5
a year ago,Arun Mittal,,4
a year ago,Nishinta Mitra,Ok ok collection was there,3
a year ago,Jelilat Efunkunle,Plenty of options.,5
a year ago,Maame Amma,"It was nice going in there, seeing all the different things they've got. I didn't get the dress I was looking for though 😁 …",4
a year ago,Chidi Stanley,Fun and exciting,5
a year ago,CHARLIE-JULIE HUNT,"Brightly lit store with a great layout but their range is simply too 'highstreet' for me. However, you do get what you pay for, is always well stocked and great customer service.",3
a year ago,MITESH PATEL,,4
a year ago,NINSIIMA JOSEPHINE,,5
a year ago,WaveyJones,"I was at the Stratford, Westfield branch of H&M and a few young staff members decided to follow me around the shop, they never asked if I needed help, but they were always behind me as if I was going to steal something. I would like this …",1
a year ago,Md Jikir Hussain,Its a nice shop as well where lots of collections are available although price little bit high,4
a year ago,Sheikh Usman Shakeel,,3
a year ago,Vytautas Asmenskas,,5
a year ago,arrie dingley,Well stocked but no structure to what is where,4
a year ago,Dapo Jaiyesimi,,5
a year ago,Ruhul Amin,,4
a year ago,marwa krabou,,5
a year ago,Opu Islam,Good collection,4
a year ago,Huma Khan,My favourite place to shop,4
a year ago,61 growing old disgracefully and Going to enjoy it,I been a here a few time but sadly couldn't get help from the staff,3
a year ago,Никита Костенюк,,5
a year ago,Becky Turauskas,,5
a year ago,Harriet Greenidge,Loves the experience  it has given. Love the  atmosphere too.,5
a year ago,Elena Mahmud,,3
a year ago,Andy de la Pole,,2
a year ago,Dominic Quarshie,,4
a year ago,Radiya's Tiny Family,good,3
a year ago,Hannah Khatun,Busy but clothes are nice. Domt go during peak hours,4
a year ago,Pawel Pyzik,,5
a year ago,Sree Vishnu,,4
a year ago,Ilenuta Huci,,5
a year ago,Dana Tarlungeanu,,4
a year ago,PETER BONE,,4
a year ago,Маріанна Кілару,,5
a year ago,Mr Connoisseur,,5
a year ago,Syed Najeeb Ahmed Hussaini,,5
a year ago,Alison Orth (Ali),,5
a year ago,Shahina Khanom,,5
a year ago,Tania Ahmed,COMPLAINT:  About the staff members in H&M Westfield Stratford (). I asked the cashier () …,1
a year ago,Stephen Wallder,,4
a year ago,Simona Berontaitė,,5
a year ago,Jonatan San Martin,,4
a year ago,Gurkirit Kalkat,Good staff,5
a year ago,Annapaola Ampy,,4
a year ago,Andy Plays,,5
a year ago,Muhammad Waqas,Awesome service.,5
a year ago,James Hopwood,,5
a year ago,Andrew Mardjuki,Usual,3
a year ago,Babanuta Mihail,Assortment !!!!big,5
a year ago,Cucci Donchev,,5
a year ago,Demowe Demulder,,5
a year ago,Pam Daisy,Very clean and staff were very helpful.,5
a year ago,Hani Zeghouani,,5
a year ago,Georgiana Marius,Nice,5
a year ago,Nat B.,"Affordable fashion in general, didn't like how unstructured the jackets were...tried a few, didn't buy any...disappointed as I liked the fabrics/ patterns.",3
a year ago,Muhammad Hammad,,4
a year ago,Thi ha Myo,Love it in shop.great price and clean store,5
a year ago,sunday osibuamhe,,5
a year ago,Charlie Bradley,,1
a year ago,Fatima zahra Boutahar,No options for petite taille,2
a year ago,Sue Faulkner,Didn't go there,1
a year ago,DANIEL DAVID,Very nice shop staff very helpful ❤️,5
a year ago,Xandria G,,5
a year ago,Howling Mad,,2
a year ago,Massimiliano D'Amico,Not bad but can be better quality and style,3
a year ago,Sai Nagabhairu,,5
a year ago,Salim Rarih,To busy and difficult to find items,4
a year ago,Christina March,,4
a year ago,Joao Venceslau Dos Santos,,4
a year ago,Natalia Grigorita,Ok,4
a year ago,K,,5
a year ago,W,Awful customers service. I was so chocked because the online customer service is really good. Team member at the cash desk were having personal conversation and laughing out loud between them while serving customers . A manager with long …,1
a year ago,Jay Khan,,3
a year ago,Michele Brown,,4
a year ago,hi im a fan,,3
a year ago,Namita Gurung,,5
a year ago,Francesco Consoli,I always do my shopping in this shop. Nice clothing and good quality,5
a year ago,A .k Chowdhury,,5
a year ago,Costel Chiuda,,5
a year ago,Ernest Vandyke,,5
a year ago,George Funduc,,5
a year ago,Oleksandr Solskyi,,5
a year ago,akshay vg,,4
a year ago,Yannis Kouriotis,,5
a year ago,Rishabh Jain,,4
a year ago,Odette King,,5
a year ago,Cennet Dilek,,5
a year ago,Michael Walker,,5
a year ago,Enzo Castro,,3
a year ago,jorge andrade,,5
a year ago,Florentina Lehadus,,5
a year ago,Alessandro,,2
a year ago,nishtiman abdullah,I love it🤩 …,5
a year ago,Fahim,,5
a year ago,MD. ABDULLAH AL MAHMUD,But we needed to return the item because we couldn't find the appropriate size.,5
a year ago,Sunil Vhora,Fantastic,5
a year ago,Zugal Nandha,,3
a year ago,Gurpreet Sehra,Nice store. Very big. Clothes could be organised better.,3
a year ago,Nick Shrestha,The layout of the store is a bit confused other than that store is good enough that it has menswear and home collection.,4
a year ago,SHIVA RAMA KRISHNA ANAJI,,5
a year ago,Jean Correa (Jeanzera),🤞 …,5
a year ago,Qamar Gilani,Good prices and not too bad clothes.,4
a year ago,Marzana Jehin,,5
a year ago,Gen_dom97 YT,,5
a year ago,Patrycja Sochran,Very disappointed with 16th century fashion that has arrived at H&M. Quality of clothes is a lot of the time questionable. However the shop is tidy and staff is nice,2
a year ago,gina politou,(Translated by Google) Very nice!! for shopping!! for eating!!  (Original) …,5
a year ago,Renata Šimkutė,,3
a year ago,Sanom Sema,,3
a year ago,ThisIsIndoLife,Usual hnm,3
a year ago,hi guys,,3
a year ago,Ionela georgiana Mares,,5
a year ago,Abdullah Baqalaqil,,4
a year ago,Candice (MrsK),,4
a year ago,Andrew Sheff,,5
a year ago,Виктория Савина,,5
a year ago,Artur Hagdan,Good price,5
a year ago,Lynne Higgins,"I didn't actually go in there, but I do like the shop.",4
a year ago,nakita s,,4
a year ago,Bela Kobori,,3
a year ago,Agnieszka Kwasnik,,4
a year ago,Ricardo Malta,,5
a year ago,Rahima S,Not much decent clothing in the girls range.,3
a year ago,Carmen Urziceanu,(Translated by Google) Prices ok  (Original) Preturi ok,5
a year ago,Mohamed Mohamed,,4
a year ago,Lawe Filips,Very large shop with helpful staff. The product are well displayed in right places. The staff are professional and picking up and tidying up after the customers.,5
a year ago,Marius Micu,,5
a year ago,Blagovesta Kancheva,,4
a year ago,Angie Varvar,Nice,5
a year ago,Rekha Bhojwani,Best,4
a year ago,Andrew tos,,4
a year ago,alan clements,Ok,5
a year ago,Temet Nosce,,5
a year ago,Fokrul Islam,Excellent,5
a year ago,vivek srivastava,One of my favorite brand because of nice quality and variety of stocks within budget,5
a year ago,MD Mominol Huq,Nice collection.,5
a year ago,Azizul Haque,,4
a year ago,Marisa Durao,Great shop,4
a year ago,Prashant Sehgal,,4
a year ago,Robyn Cheeseman,,3
a year ago,SYED HAYDER,Poor customers service,2
a year ago,KAMRAN ASLAM,Decent stock,5
a year ago,Nishat Chowdhury,"My mum was robbed at exactly 17:30 on the 4th of September in the Stratford branch, and the staff showed no compassion. They've done nothing to help. This store clearly isn't the safest place to be in.  Pickpocketing is one thing but …",1
a year ago,Carina Gheorghe,,5
a year ago,Paula Lara,,5
a year ago,Joseph Grange,,3
a year ago,Habiba Chowdhury,Got forced to open a membership account even though I refused and said I didn't need it. Felt very pressured to have to waste ten minutes to open an account just so I could pay for my good.,1
a year ago,time breaker,,5
a year ago,Noel McGarrell,,4
a year ago,Sadiq Ali,,4
a year ago,Jacqueline Doyle,,4
a year ago,Sarah McKay,"The quality of clothes has gone down drastically since the pandemic, what a shame, it used to be my favourite store",2
a year ago,Milene Bernardino,Not anything in special on collections,3
a year ago,R G,,5
a year ago,Lipia Begum,I am regular shopping their,5
a year ago,Misha Atkins,,4
a year ago,Noizy Hill,,1
a year ago,Louise Bedford,,5
a year ago,Kuberan,Good shop,4
a year ago,S Iftikhar,,5
a year ago,Amira Bello,,5
a year ago,Flory Glory,It was massive as they have 1 on each level. I got there around 5:30pm and they close at 6pm so I did my shopping then it was 5:58 that's when the security came to me pushing  me to get out like he would …,3
a year ago,Kristina Zagorova,,3
a year ago,Natalia Guler,,5
a year ago,Donna,,4
a year ago,Tirth Patel,,5
a year ago,Zdenka Herić,"(Translated by Google) High prices, the selection of goods and sizes is not adjusted …",3
a year ago,Daisy Duke,,5
a year ago,Virgem Blud,I always get what I'm looking for @ H&M! I love it 😀😍❤ …,5
a year ago,Lakshmi K,,2
a year ago,SANJAI N Ramasamy,Lots of Discounts,5
a year ago,MrSidz,,5
a year ago,alexander arboleda,They have a lot of good discounted clothing at this store,5
a year ago,Lucy Etherington,Not a huge range of clothes but good customer service.,3
a year ago,R D,"Perfect time to visit this store, I would say is early morning literally within the first or second hour of opening. Store was organised and not too busy so was able to have a good look around. A large range of items across the three …",4
a year ago,Shima Begum,"Love h&m clothes sometimes can't  find sizes, prices is ok staff are nice and helpful",5
a year ago,Ivan Ukiwah,"Got some really nice T-shirt and shorts, great quality from H&M and on sales as well. Enjoyed the background music especially the old school ones",5
a year ago,Salma Bibi,My favourite place been using h&m clothes for my kids for years now,5
a year ago,sruthi appu,,5
a year ago,Feridon Peka,,5
a year ago,bojanapu sravani,,4
a year ago,Victoria A,,5
a year ago,Ayesha Begum,Always have lovely clothes for kids both for boys n girls never disspionted. Lovely sandels and shoes for both boys n girls too.,5
a year ago,Simon Rarih,Good but they need to do a lot,3
a year ago,Iramk.56,,4
a year ago,Mohammad Sajid,Always very satisfying feeling after shopping from h and m. All time favourite,5
a year ago,Milena Zielińska,,4
a year ago,Avighna Siddhidhata,,5
a year ago,Kellie Field,,5
a year ago,adam p,,5
a year ago,muhtasim rafid,,4
a year ago,maddie weston,,4
a year ago,eAssistant,,3
a year ago,Jay Francis,Great range of clothes to choose from.,5
a year ago,clive wright,,5
a year ago,balaji Lakshmanan,,5
a year ago,Barbara Schmitt,(Translated by Google) cool  (Original) Super,5
a year ago,Kateryna Fraser 'Sokolovska',,5
a year ago,Shzeng Potter,,3
a year ago,Mohammad Helmi,,3
a year ago,MiLkTaE JaMs,,4
a year ago,sathish kumar,,5
a year ago,nuria x,Nice H&m. Not the biggest one I've been to but a large size one,5
a year ago,Nelufa Begum,,3
a year ago,Fang H M,,3
a year ago,neha mukherjee,,5
a year ago,Simona Baluna,,5
a year ago,Jeff Charles,Amazing staff very helpful,5
a year ago,Emilija V,,4
a year ago,Mahu Dumitru,,5
a year ago,Sadia Shahrukh,Nice big store with variety of collection,5
a year ago,Gabriella Rocha (Gabi),,3
a year ago,Sinthu Chiva,,4
a year ago,Sibrega,"Store it is impecable, although i wont give full stars as i think full experience isnt just about presentation of the store which was great, although girls at the cashier were chatting in between then and not paying attention to the …",3
a year ago,Assad Jatoi,,5
a year ago,Annielytical,loving the new fashion direction.,5
a year ago,Carol Rose,"This is a lovely shop to visit as its spacious, well stocked and is amply staffed by assistants that are always happy to help with any enquiry.",5
a year ago,vellala sudhanvi,Expected more collection!!,4
a year ago,N C,Rude staff in fitting rooms.,1
a year ago,Lamiska1985,Not a huge selection for tweens,3
a year ago,Giovanni Perata,,4
a year ago,Mr Robot,Not as much range as they have online which is a bit annoying.,4
a year ago,Moj Ali,,3
a year ago,Angela Mcleod,,3
a year ago,Yiu-Fung Kwok,,3
a year ago,Noieeda McC,,5
a year ago,Mikki D,"Lots of choice, tidy so made the shopping experience more pleasant.",5
a year ago,Sabeeta Mushtaq,Found some really good stuff on sale as well.,4
a year ago,SANKET DHEMARE,,5
a year ago,K L,,5
a year ago,Fay G,,4
a year ago,Eliza Brecheisen,Cute options and affordable prices.,5
a year ago,Kim Smith,,5
a year ago,Dominic Ellis,,4
a year ago,Rosa Golpe,,5
a year ago,Aaron Macdani,"It was nice and clean. Fitting room staff in the top floor, children section were not enough helpful as they supposed to be. I couldn't buy the clothes which I was interested.",3
a year ago,Sarah-Ann Caine,,4
a year ago,Rabeeh Pullichola,Good collection,4
a year ago,Lilia Chiu,"Big store but quene up for fitting room for long time, don't know why they don't open other floor of fitting room as such a large amount of customers waiting",3
a year ago,payal dutt,,4
a year ago,marehena,,5
a year ago,maria martins,Not the right shop for me,3
a year ago,Arjun Parameswara,,5
a year ago,Luca Soldati,,4
a year ago,Its Shohag,Best in the town,5
a year ago,Mohammed Eahia Talukdar,one of my favourite clothe shop❤,5
a year ago,B. Lueskittle,,5
a year ago,Zara Dar,,5
a year ago,Andrzelika Sobera,,5
a year ago,nathaniel Johnson,,3
a year ago,aurelian misan,"(Translated by Google) A very good store, you can find everything you need  (Original) …",5
a year ago,Shaba Ali,Store is very big and has lots of space,4
a year ago,ania Stuart,,4
a year ago,ab g,(Translated by Google) A large and good selection  (Original) מבחר גדול וטוב,5
a year ago,Miguel Farfan (latinlover032),,5
a year ago,Konok Munshi,,3
a year ago,Farrell Governor (the wandering psycho),,4
a year ago,Orsolya Kemeny,,3
a year ago,Jaquelina Giuliani,,4
a year ago,GMEDIA,,5
a year ago,Chelsea Andrews,Beautiful range of clothing and sizes the only problem was the staff at the tills. Approached the tills with my items and two young girls were completely ignoring my presence while serving me talking about Harry Potter and what houses they …,2
a year ago,Ron Ba,,5
a year ago,Federica Minotti,,4
a year ago,Sergiu Vioara,,5
a year ago,Amy S,,5
a year ago,Kerry Addis,,2
a year ago,tareq siddiqur,,4
a year ago,A STP,Good service,5
a year ago,Marcus Galloway,"Finally, an H&M with guys sportswear available.",5
a year ago,Jacob Morse,,3
a year ago,Umm Siyah,,4
a year ago,Saagar Beejudhur,,4
a year ago,Danillo Georg de Macedo,(Translated by Google) Very good  (Original) Muito bom,5
a year ago,Afam Nwaokolo,Perfect,5
a year ago,elena koleva,,5
a year ago,Yannick Olivia,,5
a year ago,JOHN CARDOZO,Excellent,5
a year ago,Scott Murray,"Big store , loads of staff are visible , I have no complaints",5
a year ago,Sanaa Taweel,,3
a year ago,Daniel Zielinski,Great service 👏thanks …,5
a year ago,Niculaesei Gabriel,Best prices,4
a year ago,David Olutunde,,3
a year ago,Devin Patel,,4
a year ago,Salina Gurung,,5
a year ago,M B,,5
a year ago,Ginna Muniz,,3
a year ago,Sneha Anand,,4
a year ago,Julian Stirca photography,,5
a year ago,Layla Mohamed,,5
a year ago,Sharon James,,4
a year ago,Itamara Dall Alba,Good quality,4
a year ago,Herman Halasz,"This store is full of surprises, excellent customer service, great prices!",5
a year ago,G Ahmed,,5
a year ago,Temi Adeoso,,4
a year ago,MrDstempniewski,,5
a year ago,Wilson Roberto Pannunzio,,5
a year ago,Imran Patel,,4
a year ago,Mihir patel,,5
a year ago,Rakiya Charles,Very busy and the best lines often sell out quickly.,3
a year ago,Richard Quinto,,4
a year ago,agbesi dagodzo,,4
a year ago,Gracy Gracesome,,4
a year ago,Stephane Campos,,5
a year ago,Marina Mitrofan,,5
a year ago,Peter Bishop,A first class shopping  center! Take  plenty of money with you! Ha ha !!!,5
a year ago,Nadia Zulfiqar,A pretty big store pretty busy due to location,5
a year ago,Sharat Kapoor,Clothes shop... took mum to return some stuff she bought for my nephew. Clothes were too small ... growing baby,3
a year ago,Piku,,5
a year ago,Asif Zaman,,5
a year ago,David Lam,Very clean and spacious. The people work in there is helpful.,4
a year ago,German Lopez,,5
a year ago,Miss Tara,,4
a year ago,Hilda Boyd,,5
a year ago,Bea R C,,5
a year ago,Octav Copoti,,5
a year ago,Justin Francis,,5
a year ago,Nolan Lewis (Mananman1974),,3
a year ago,Islamic lecture with ali jaber,Massive shop  good price,5
a year ago,Cristina Da Cunha,,4
a year ago,Rosa rose,,5
a year ago,Antonio Nogueira,,1
a year ago,Naveen Chhipa,,5
a year ago,Amina Noore,Too crowded,1
a year ago,Liven it up,Wait 45 minutes in the queue but great surface!,4
a year ago,Pedro Rivas Barco,(Translated by Google) I know very nice clothes for all occasions  (Original) …,4
a year ago,Tsvetanka Taseva,,4
a year ago,Nicola Buckley,,5
a year ago,Maribel Justiniane,Always have a good product.,5
a year ago,Katrina Batchelor,Great as usual,5
a year ago,mariam adegoke,Good a bit pricey,4
a year ago,Mr G,"The good the bad & ugly of shopping in H&M, 1st the good, l always find great clothes at reasonable prices 2nd the bad, you can't find any staff to help with sizes everything is really self service 3rd the ugly, l bought a suit at full …",4
a year ago,vibhor sharma,,5
a year ago,Patel's Recipe,Nice place for shopping,5
a year ago,hiren patel,,4
a year ago,Rahulreddy Katkuri,"It's nice showroom, you have to see price and buy cloths",5
a year ago,Sean Taylor,Very very slow on the tills. Lack of staff. If paying in cash is a nightmare waiting ages just to pay for 2 things,1
a year ago,David Peace,,5
a year ago,Amina Begum,,4
a year ago,Humble one Simple one,Got some great stuff,5
a year ago,MARGARET BOATENG,My best ever,5
a year ago,NoxiusTrak,,4
a year ago,Inna Talambuta,,5
a year ago,Tom Metcalfe,,4
a year ago,just_for_fun 786,Nice stuff but too much busy when I visited.,3
a year ago,Clinica Alessandra Ribeiro,,5
a year ago,Richard T Brown,Better than Next and River Island,3
a year ago,AHLULBAYT NETWORKS UK,Good prices,5
